,ID,Name,Description,PricePer1000,Min,Max
62,240,Rs 54 Instagram Followers [2.5K] [Real]⚡️⚡️⚡️ ,- High-Quality Instagram followers   - Min 100 & Max 2500   - Followers Unfollow 5-15%   - Per submit 2500 Followers   - Speed Same days delivery   - Start time 5 min to 12hrs ( Some time delay if server overload or we update system)   - No Refill  NO refund if drop after 5 min   ,                                                                                         $0.80                                         ,100,2500
63,241,Rs 54 Instagram Followers ⚡️⚡️[6K] ,USERNAME ONLY | WORKING   Minimum 200   Maximum 6000,                                                                                         $0.80                                         ,200,6000
64,242,Instagram Followers  [10K], Minimum 100   Maximum 10000   Start 0-1Hour   Start Instant  No partial issues,                                                                                         $0.84                                         ,100,10000
65,243,Instagram Followers [10K] ~ No Refill ~ No Refund ~ INSTANT ,- High-Quality Instagram followers   - Min 100 & Max 10000   - Followers Unfollow 5-15%   - Per submit 10000 Followers   - Speed Same days delivery   - Start time 5 min to 12hrs ( Some time delay if server overload or we update system)   - No Refill  NO refund if drop after 5 min,                                                                                         $0.86                                         ,100,10000
66,244,Instagram Followers [8K] ~ No Refill ~ No Refund ~ INSTANT ,- High-Quality Instagram followers   - Min 100 & Max 10000   - Followers Unfollow 5-15%   - Per submit 20000 Followers   - Speed Same days delivery   - Start time 5 min to 12hrs ( Some time delay if server overload or we update system)   - No Refill  NO refund,                                                                                         $0.88                                         ,100,8000
67,245,Rs 79 Instagram Indian Followers 🔥 [5K] - SUPER INSTANT ,- Maximum Indian Real Followers   - High-Quality Instagram followers   - Min 100 & Max 5000   - Followers Unfollow 5-15%   - Per submit 5000 Followers   - Speed Same days delivery   - Start time 5 min to 12hrs ( Some time delay if server overload or we update system)   - No Refill  NO refund if drop after 5 min ,                                                                                         $1.20                                         ,100,5000
68,246,Instagram Bullet Followers [4K] 1 Min Delivery ⭐ ,- Super High Quality Followers   - Minimum 100   - Maximum 4000   - Start 0-1Hour   - INSTANT - 1 Min Delivery   - Fastest Service in the market.,                                                                                         $0.94                                         ,100,4000
69,247,♛Rs 64 Instagram Followers [10K] ,USERNAME ONLY | START 0-12 Hrs 90% order works well but some times few order get partial and cancelled.,                                                                                         $0.96                                         ,200,10000
70,248,Rs 42 Instagram Indian Followers [10K ] FASTEST 🔥 ,USERNAME ONLY | START 0-12 Hrs 90% order works well but some times few order get partial and cancelled.,                                                                                         $0.61                                         ,200,10000
71,249,Rs 69 Instagram Indian Followers [10K ] FASTEST 🔥, - 50-70% Indian   sometimes 80%   sometimes 10%   - High-Quality Instagram followers   - Min 100 & Max 10000   - Followers Unfollow 5-15%   - Per submit 10000 Followers   - Speed Same days delivery   - Start time 5 min to 12hrs ( Some time delay if server overload or we update system)   - No Refill  NO refund if drop after 5 min ,                                                                                         $1.02                                         ,100,10000
72,250,Rs 69 Instagram Followers [10K] - 1Min Start ,Min 100 | Max 10000 | Extra Delivery   1 MIN START | USERNAME ONLY   FASTEST SERVICE,                                                                                         $1.03                                         ,100,10000
73,251,Instagram Followers [5K] ⚡️💧, Username Only   Real   No Refill / No Refund   0-1 Hour Start!   Minimum 100,                                                                                         $0.66                                         ,100,5000
74,252,Instagram Followers Indian [10K] [ Start 2H - No Refill],Minimum 200   Maximum 10000   Real Indian Users   Start 0-2hr,                                                                                         $2.30                                         ,200,10000
75,253,Instagram Followers - Indian [50K] [ Real & Active ] [ 30 Days Refill ],- Real & Active Followers   - 30 Days Auto Refill ( In every 4hrs its auto refill )   - 20 000-50 000 Per Day   - Min 50   - Max 50k,                                                                                         $6.40                                         ,100,50000
76,254,Instagram Followers [10K] [TURKISH] ⚡️💧,Username Only   No Refill / No Refund   0-1 Hour Start!   Instant Delivery   Minimum 200,                                                                                         $1.20                                         ,200,10000
77,256,Instagram Fast Likes [7K] ⚡️⚡️⚡️,Cheapest In The Market   Real   Super Instant Delivery!   Minimum 100,                                                                                         $0.10                                         ,100,7000
78,257,Instagram Likes - [ REAL ] [ Max 100k ] INSTANT,Instant Delivery   Min- 20 | Max- 100000,                                                                                         $0.60                                         ,100,100000
79,258,Instagram Likes+Impressions [50K] ,Cheapest In The Market   Best Service In The Market   Real   Super Instant Delivery!   Minimum 100,                                                                                         $0.44                                         ,100,50000
80,259,Instagram Likes-SuperFast 1Minute, Recommended | 1Minute Complete Super Fast | Instant Start,                                                                                         $0.16                                         ,100,15000
81,325,Rs 4 Instagram Likes [5K] [REAL] [FAST] ⚡️⚡️,Best & Cheapest Service!   Real   Super Instant Delivery!   Minimum 100,                                                                                         $0.08                                         ,100,5000
82,255,Rs 4 Instagram Likes ,Min-50 Max-15k Cheapest Price Ever!!,                                                                                         $0.08                                         ,500,15000
83,260,Instagram Likes [10K] [USA] ⚡💧⭐,USA,                                                                                         $0.24                                         ,100,10000
84,261,Instagram Likes [40K] [USA] ⚡💧⭐,USA,                                                                                         $0.34                                         ,100,40000
85,262,Instagram Likes [35K] [RUSSIA] ⚡️💧⭐,RUSSIA,                                                                                         $0.46                                         ,100,35000
86,263,Instagram Likes [8K] [DUBAI] ⚡💧⭐,DUBAI,                                                                                         $0.46                                         ,100,8000
87,264,Instagram Likes [INDIA] [25K] [Real & Active],INSTANT - Extra Delivery   Real & Active Likes.   Superfast Likes   Minimum 50,                                                                                         $1.40                                         ,100,25000
88,265,Instagram Likes [2 Likes Per Minute],Get 2 Likes each minute so the likes will come in a more real way to your post! Example: You order 1000 Likes Every minute you will get 2 likes instead of getting 1000 likes in the same second which can look fake sometimes...  ,                                                                                         $0.30                                         ,100,50000
89,266,Instagram Likes [5 Likes Per Minute],Get 5 Likes each minute so the likes will come in a more real way to your post! Example: You order 1000 Likes Every minute you will get 5 likes instead of getting 1000 likes in the same second which can look fake sometimes...  ,                                                                                         $0.30                                         ,50,50000
90,267,Instagram Likes [10 Likes Per Minute],Get 10 Likes each minute so the likes will come in a more real way to your post! Example: You order 1000 Likes Every minute you will get 10 likes instead of getting 1000 likes in the same second which can look fake sometimes...  ,                                                                                         $0.30                                         ,50,50000
91,268,Instagram Likes [20 Likes Per Minute,Get 20 Likes each minute so the likes will come in a more real way to your post! Example: You order 1000 Likes Every minute you will get 20 likes instead of getting 1000 likes in the same second which can look fake sometimes...  ,                                                                                         $0.30                                         ,50,50000
92,269,Instagram Likes [50 Likes Per Minute],Get 50 Likes each minute so the likes will come in a more real way to your post! Example: You order 1000 Likes Every minute you will get 50 likes instead of getting 1000 likes in the same second which can look fake sometimes...  ,                                                                                         $0.30                                         ,50,50000
93,270,Instagram Likes [100 Likes Per Minute] ,Get 100 Likes each minute so the likes will come in a more real way to your post! Example: You order 1000 Likes Every minute you will get 100 likes instead of getting 1000 likes in the same second which can look fake sometimes...,                                                                                         $0.30                                         ,50,50000
94,271,Instagram Likes [150 Likes Per Minute] ,Get 150 Likes each minute so the likes will come in a more real way to your post! Example: You order 1000 Likes Every minute you will get 150 likes instead of getting 1000 likes in the same second which can look fake sometimes...  ,                                                                                         $0.30                                         ,50,50000
95,272,Instagram Likes [200 Likes Per Minute] ,Get 200 Likes each minute so the likes will come in a more real way to your post! Example: You order 1000 Likes Every minute you will get 200 likes instead of getting 1000 likes in the same second which can look fake sometimes...  ,                                                                                         $0.30                                         ,50,50000
96,273,Rs 1 Instagram Views 🔥,Min 50 Max 10K   INSTANT | CHEAPEST RATE IN MARKET,                                                                                         $0.02                                         ,250,10000
97,274,Instagram Views [Indian] [Real] [100K] ,- High Quality Views   - Real Indian Views   - Minimum 100   - Maximum 100000   - Super Instant Delivery,                                                                                         $0.20                                         ,100,100000
98,275,Rs 2 Instagram Views [EXCLUSIVE] [600K] ⚡️,Cheapest In The Market | Real   Best Service In The Market | Super Instant Delivery!   Minimum 250   Maximum 600000 ,                                                                                         $0.04                                         ,250,600000
99,276,Instagram Views [Min 1K | Max 1M] ,Super Fast| Best Quality | Lowest Rate,                                                                                         $0.04                                         ,1000,1000000
100,277,Instagram Views [HQ] ⭐ [100K] , Minimum 1000   Maximum 100K   High-Quality   INSTANT | CHEAPEST RATE IN MARKET,                                                                                         $0.04                                         ,1000,100000
101,278,Instagram Views + Impressions ( Unlimited ),instant and Super Fast Server. Speed 1-2 min 5k,                                                                                         $0.16                                         ,100,10000000
102,279,Rs 0.79 Instagram Views [300K] ⚡️💧🔥 ,Cheapest Service in Market   Minimum 50   Start time from 0 to 6 hours   300K/Day,                                                                                         $0.01                                         ,500,300000
103,280,IG TV Views [ULTRA FAST] [1M],IGTV Views !   Full TV Video Link Needed !   INSTANT Start !   Min = 100!   Example URL- https://www.instagram.com/tv/BkSp-6Vxx5fg/,                                                                                         $0.06                                         ,100,1000000
104,281,IGTV Views [100M] 🔥, - Instagram TV Views   - Full TV Video Link Needed   - INSTANT Start   - Minimum 50,                                                                                         $0.08                                         ,500,1000000000
105,282,IG TV Likes [3K] ~ Instant Start, - Instagram TV Likes   - Full TV Video Link Needed   - INSTANT Start   - Minimum 500,                                                                                         $0.30                                         ,500,3000
106,283,IG TV Random Comments [10K] [Instant-1 Hour Start], IGTV Random Comments !   Full TV Video Link Needed !   INSTANT Start 1 HOUR!   Min = 20,                                                                                         $3.30                                         ,20,10000
107,284,IGTV Random Comments [1M] 🔥, IGTV Random Comments !   Full TV Video Link Needed !   INSTANT Start !   Min = 100,                                                                                         $4.40                                         ,100,1000000
108,285,Instagram Random Comments [10K] [SUPERFAST],Min 250 | Max 10K   ULTRAFAST   Max 1Hour Finish,                                                                                         $0.90                                         ,250,10000
109,286,Instagram Custom Comments [10K] [SUPERFAST], Minimum 250   Maximum 10000   Ultra fast   max 1 hour finish ,                                                                                         $0.90                                         ,250,10000
110,287,Instagram Comments [1K] [EMOJI RANDOM],No Refill / No Refund   Random Comments With Emoji (Faces  Hearts  Etc...)   0-12 Hours Start!   Fast Delivery   Minimum 20,                                                                                         $2.70                                         ,20,1000
111,288,Instagram Saves ( Fast ) Best Quality ( Min 10 | Max 100k ),SAVES,                                                                                         $1.04                                         ,10,100000
112,289,Instagram Impressions ( Min 5 | Max 100K ,Minimum 5   Maximum 100000,                                                                                         $0.56                                         ,50,100000
113,290,Instagram Story Views⭐, Username Only | 0-1 Hour Start Ultra Fast!,                                                                                         $0.90                                         ,100,30000
114,291,Instagram Story Views [20K] [LAST STORY ONLY] ⚡⭐, Views On The Last Story Posted ONLY !   Username Only   0-1 Hour Start!   Ultra Fast!   Minimum 50,                                                                                         $0.44                                         ,50,20000
115,292,Instagram Story Views [FEMALE] [30K] ⚡⚡⚡⭐,Username Only   Views from FEMALE users   0-1 Hour Start!   50K/Day   Minimum 20,                                                                                         $1.10                                         ,50,30000
116,293,Instagram Last Story Views [1M] ❄️ ,Cheapest in the market   Minimum 100   Max 1Million   Instant,                                                                                         $0.36                                         ,100,1000000
117,294,Instagram Live Video Views [1K] ⚡⚡⚡,Username Only   No Refill / No Refund   Views On Live Video   Fast Delivery   Minimum 500   IF you ask for Refund  You need to send a screenshot   as a proof with the # of views and Time in the screenshot !,                                                                                         $3.10                                         ,500,1000
118,295,Instagram Live Video Likes⚡⚡,Username Only | Instant No Refill / No Refund Likes On Live Video,                                                                                         $1.14                                         ,200,10000
119,296,Facebook Post Likes [10K] ⚡⚡⭐,★ For Facebook Profile and Page Post   ★ Real Worldwide Likes   ★ Super Instant Start !   ★ 10k speed a day   ★ Min = 100   ★ Max = 10000 !,                                                                                         $0.40                                         ,100,10000
120,297,Facebook Video Views [ 10k speed ] INSTANT,Minimum 1000 | Maximum 100K   10K Per Day   Real - Instant,                                                                                         $1.12                                         ,1000,100000
121,298,Facebook Photo/Post Likes [15K] [ REAL  ULTRAFAST ] INSTANT,Put Link Of Facebook Profile/Page Post   INSTANT ULTRAFAST LIKES ( 15 000 Likes in 10 SECONDS )   15 000/day speed   Lifetime non drop guarantee   50 Minimum order   15 000 Maximum order,                                                                                         $0.60                                         ,50,15000
122,299,Facebook Followers [8K] [R30] ⚡️,✪ Real   ✪ Worldwide Followers   ✪ 30 Days Refill guaranteed   ✪ Super instant start !   ✪ 8k per day speed   ✪ Minimum 100,                                                                                         $2.20                                         ,100,8000
123,300,Facebook Followers [50K] [30 Days Refill] ⚡️,For Facebook Profiles And Not Pages   Real   Refill (30 Days Maximum)   0-6 Hour Start!   500 - 2K/Day   Minimum 100   Maximum 50000,                                                                                         $2.70                                         ,100,50000
124,301,Facebook Page Likes [8K] - No Refill, Minimum 500   Maximum 8000   Start 0-5Hours - Instant   No Refill. Even if it drops it the same Day.,                                                                                         $4.00                                         ,500,8000
125,302,Facebook Page Likes [10K] 30 Days Refill,Minimum 500   Maximum 10000   30 Days Refill   0-3hours Start   INSTANT,                                                                                         $6.00                                         ,500,10000
126,303,Youtube Views [1M] [LIFETIME GUARANTEE] [AUTO REFILL] 💧,Instant Start   10k to 30k / Day Speed !   AUTO Refill Every 24 Hours !   LIFETIME GUARANTEED !,                                                                                         $0.52                                         ,1000,1000000
127,304,YouTube Views [No Refill] ⚡️⚡️,- Minimum 100   - Maximum 100000000   - Speed 50-100K Per Day   - Instant   - No Refill Guarantee ( If order today drop after few hrs still no refill )   - Views can drop in any ratio ( if drop )   - 2-4 mins retention,                                                                                         $0.30                                         ,100,10000000
128,305,Youtube Views [500K] [NO REFILL] [HIGH RETENTION] ,• 50K-60k Views Per Day   • 100% Real Human YouTube Viewers!   • INSTANT START   • up to 50 minutes watch time!   • 85%+ Retention   • No Refill Guarantee   • Windows Desktop Watch Page Views   • 100% Unique Traffic   • Social Referrer (Facebook)   • World-Wide Views Added in a NON-STOP Natural Pattern   • Incremental Speed Based on Order Size   • OK for VEVO   • Must be Unrestricted & Open for ALL countries   • Cancel any Time with Full/Partial Refund   • Over-Delivery Guaranteed   • Minimum 1000,                                                                                         $1.10                                         ,1000,500000
129,307,YouTube Likes [ S1 ] ~ Max 500k ~ Per day 5k-10k Speed ~ INSTANT,Minimum 10   Maximum 500000,                                                                                         $3.40                                         ,100,500000
